date,prev_date,open_today,close_prev,gap_pt,gap_pct,nq_0845,es_0845,kospi_0845,nkx_0845,nq_1500,es_1500,ndx_ret,spx_ret,nkx_ret,kospi_ret,nq_0845_pct,nq_1500_pct,es_0845_pct,es_1500_pct,vote_es,vote_kospi,vote_nkx,vote_ndx_prev,vote_composite
2024-01-03,2024-01-02,17658.0,17803.0,-145.0,-0.8144694714373982,,,1.079833984375,,,,-1.1765621673558213,-0.8016314922730805,-0.2249554893273941,-2.340990506003271,,,,,0,0,0,-1,-1
2024-01-04,2024-01-03,17533.0,17549.0,-16.0,-0.09117328622713546,,,-14.349853515625,189.2109375,,,-0.5613279720430908,-0.3428381297357008,-0.5255854325544984,-0.7781981661760362,,,,,0,-1,1,-1,-1
2024-01-05,2024-01-04,17577.0,17552.0,25.0,0.14243391066545122,,,-1.5400390625,79.1484375,,,0.0949016078086284,0.1825686178802632,0.2677602694829195,-0.3455690848449544,,,,,0,0,1,0,1
2024-01-09,2024-01-08,17770.0,17593.0,177.0,1.0060819644176662,,,-15.510009765625,-142.52734375,,,0.0939143501127004,-0.1477900679908161,1.155744784437451,-0.2562515265800535,,,,,0,-1,-1,0,-2
2024-01-10,2024-01-09,17510.0,17551.0,-41.0,-0.23360492279642184,,,-4.8701171875,196.19921875,,,0.7534164415768263,0.566597189372442,2.0097013041435074,-0.7519798940771039,,,,,0,0,1,1,2
2024-01-11,2024-01-10,17489.0,17462.0,27.0,0.15462146374985683,,,1.369873046875,177.640625,,,0.003607559618346,-0.0671055578386869,1.765709282438177,-0.0672688593395087,,,,,0,0,1,0,1
2024-01-12,2024-01-11,17470.0,17571.0,-101.0,-0.5748107677423027,,,13.880126953125,-39.328125,,,0.0171630143889434,0.0750975594110414,1.5042856359534174,-0.5991477514635801,,,,,0,1,0,0,1
2024-01-16,2024-01-15,17490.0,17553.0,-63.0,-0.3589130063237053,,,11.4501953125,-58.859375,,,-0.1897456226822358,-0.3731340236743152,-0.7871735152474302,-1.1243077943121629,,,,,0,1,-1,0,0
2024-01-17,2024-01-16,17306.0,17337.0,-31.0,-0.17880832900732538,,,-14.650146484375,-182.87109375,,,-0.5937327117390034,-0.5616897183990499,-0.3970604846625147,-2.46998840386079,,,,,0,-1,-1,-1,-3
2024-01-18,2024-01-17,17235.0,17240.0,-5.0,-0.029002320185614848,,,1.550048828125,98.5625,,,1.3464956148553586,0.8805260963896,-0.0326348908823104,0.1699633353064555,,,,,0,0,1,1,2
2024-01-19,2024-01-18,17534.0,17284.0,250.0,1.4464244387873177,,,-4.369873046875,73.5390625,,,1.6958373056834786,1.2313502764936146,1.401610689763788,1.3401399423117244,,,,,0,0,1,1,2
2024-01-23,2024-01-22,17797.0,17815.0,-18.0,-0.10103845074375527,16.0,1.0,0.97998046875,117.87109375,8.5,3.0,0.4274033267473776,0.2921374261968035,-0.0803867542381042,0.5786519447535943,0.08888888888888889,0.04722222222222222,0.022222222222222223,0.06666666666666667,0,0,1,1,2
2024-01-24,2024-01-23,17902.0,17865.0,37.0,0.20710887209627765,32.75,4.5,4.659912109375,-153.609375,29.75,5.75,0.3628919250833196,0.0811928411783124,-0.7971227035615813,-0.3598858081355627,0.18194444444444444,0.16527777777777777,0.1,0.1277777777777778,1,0,-1,1,1
2024-01-25,2024-01-24,18025.0,17901.0,124.0,0.6926987319144181,-7.75,-1.75,-0.85009765625,-87.59765625,2.0,-0.5,0.1846029321248332,0.5260365527706368,0.0275717682776788,0.0263250245901236,-0.043055555555555555,0.011111111111111112,-0.03888888888888889,-0.011111111111111112,0,0,-1,0,-1
2024-01-26,2024-01-25,17950.0,17996.0,-46.0,-0.25561235830184487,-49.0,-6.5,6.93994140625,-34.2109375,-34.25,-6.5,-0.3554988455401142,-0.0651785251076453,-1.3395301866990006,0.3327465211538483,-0.2722222222222222,-0.19027777777777777,-0.14444444444444443,-0.14444444444444443,-1,1,0,-1,-1
2024-01-30,2024-01-29,18131.0,18127.0,4.0,0.022066530589728028,28.75,4.5,-6.369873046875,15.05859375,-32.0,-4.75,-0.7559466711257956,-0.0600649934539898,0.1080246261017547,-0.0735746234719059,0.15972222222222224,-0.17777777777777778,0.1,-0.10555555555555554,1,-1,0,-1,-1
2024-01-31,2024-01-30,17983.0,18082.0,-99.0,-0.5475058068797699,-23.75,-0.5,-9.090087890625,66.33984375,12.5,3.5,-2.23012795884282,-1.6105744611597972,0.6123563012977451,-0.0688315903487613,-0.13194444444444445,0.06944444444444445,-0.011111111111111112,0.07777777777777778,0,-1,1,-1,-1
2024-02-01,2024-01-31,17978.0,17920.0,58.0,0.3236607142857143,39.25,7.75,3.480224609375,62.52734375,17.75,1.5,1.3032824817912123,1.2493688211609788,-0.7585421574142881,1.816909740937711,0.21805555555555553,0.09861111111111112,0.17222222222222222,0.03333333333333333,1,0,1,1,3
2024-02-02,2024-02-01,18099.0,17986.0,113.0,0.628266429445124,-26.0,-4.25,14.199951171875,139.390625,-17.0,-2.0,1.740117285606213,1.068444607751462,0.40697763971409,2.8653390328863715,-0.14444444444444443,-0.09444444444444444,-0.09444444444444444,-0.044444444444444446,-1,1,1,1,2
2024-02-16,2024-02-15,18666.0,18663.0,3.0,0.016074586079408457,20.75,-3.75,3.469970703125,-471.0703125,33.25,3.75,-0.8205591408306456,-0.4803469837112106,0.862983858311761,1.3375147403939414,0.11527777777777777,0.18472222222222223,-0.08333333333333334,0.08333333333333334,-1,0,-1,-1,-3
2024-02-20,2024-02-19,18634.0,18670.0,-36.0,-0.192822710230316,,,-9.989990234375,-71.9375,30.5,4.5,-0.918314703992118,-0.6005322001165325,-0.2775369889394419,-0.8383504070968772,,0.16944444444444443,,0.1,0,-1,-1,-1,-3
2024-02-21,2024-02-20,18715.0,18748.0,-33.0,-0.17601877533603583,-24.5,-4.75,8.570068359375,43.19921875,14.75,0.75,-0.3193068764124063,0.1264199922982101,-0.2644412775616223,-0.1685603604086871,-0.1361111111111111,0.08194444444444444,-0.10555555555555554,0.016666666666666666,-1,1,0,-1,-1
2024-02-22,2024-02-21,18837.0,18695.0,142.0,0.7595613800481412,61.25,14.25,-7.369873046875,-62.65234375,48.0,9.75,2.9571519211352597,2.112288421741404,2.186284119437931,0.4130674778095367,0.34027777777777773,0.26666666666666666,0.31666666666666665,0.21666666666666665,1,-1,-1,1,0
2024-02-23,2024-02-22,18990.0,18885.0,105.0,0.5559968228752978,4.0,2.5,3.0,,-5.25,-3.25,-0.2792723201286873,0.0347947546211591,2.186284119437931,0.1287381389829311,0.022222222222222223,-0.02916666666666667,0.05555555555555555,-0.07222222222222222,1,0,0,0,1
2024-02-27,2024-02-26,18955.0,18966.0,-11.0,-0.05799852367394285,10.0,0.0,1.760009765625,-50.359375,39.75,5.25,0.3696099190204194,0.1706349699399867,0.0148051092063505,-0.8322388687417193,0.05555555555555555,0.22083333333333335,0.0,0.11666666666666668,0,0,-1,1,0
2024-03-01,2024-02-29,18969.0,18960.0,9.0,0.04746835443037974,12.25,1.75,,250.578125,27.25,2.75,1.1373441373127011,0.800782894888763,1.9012032559570624,-0.374390865794405,0.06805555555555555,0.15138888888888888,0.03888888888888889,0.06111111111111111,0,0,1,1,2
2024-03-05,2024-03-04,19372.0,19309.0,63.0,0.32627272256460715,-20.0,-3.0,-11.7900390625,-12.0,-16.5,0.5,-1.6530603760192664,-1.0193100883444606,-0.028924919187967,-0.9299777885502848,-0.1111111111111111,-0.09166666666666666,-0.06666666666666667,0.011111111111111112,-1,-1,0,-1,-3
2024-03-06,2024-03-05,19279.0,19384.0,-105.0,-0.5416838629797771,-37.75,-7.25,-12.25,68.1484375,21.25,1.75,0.5768667588931464,0.5141103203274655,-0.0170774592832212,-0.2985548577388308,-0.2097222222222222,0.11805555555555555,-0.16111111111111112,0.03888888888888889,-1,-1,1,1,0
2024-03-07,2024-03-06,19690.0,19507.0,183.0,0.9381247757215359,-44.75,-10.0,-0.110107421875,-387.7890625,-29.5,-8.75,1.5085253391797115,1.0304127925951478,-1.2273901808785517,0.2320708000328686,-0.24861111111111112,-0.1638888888888889,-0.2222222222222222,-0.19444444444444445,-1,0,-1,1,-1
2024-03-08,2024-03-07,19928.0,19696.0,232.0,1.1779041429731927,13.25,3.0,1.64990234375,220.6875,7.0,1.25,-1.156917202239249,-0.6528519003437983,0.2278621364529165,1.236203798886315,0.07361111111111111,0.03888888888888889,0.06666666666666667,0.027777777777777776,1,0,1,-1,1
2024-03-12,2024-03-11,19713.0,19717.0,-4.0,-0.02028706192625653,40.75,6.0,1.690185546875,5.4296875,-13.0,-1.75,1.5379609957051343,1.1201787981366396,-0.0591866911449856,0.8259884044588661,0.22638888888888892,-0.07222222222222222,0.13333333333333333,-0.03888888888888889,1,0,0,1,2
2024-03-13,2024-03-12,19992.0,19954.0,38.0,0.19043800741705924,-8.75,1.25,-4.93017578125,-131.25,12.0,0.75,-0.540219254125307,-0.1924529715340739,-0.2617254670508329,0.4385101669650559,-0.04861111111111111,0.06666666666666667,0.027777777777777776,0.016666666666666666,0,0,-1,-1,-2
2024-03-14,2024-03-13,19900.0,19927.0,-27.0,-0.13549455512621067,15.5,0.25,4.919921875,149.69140625,14.5,4.5,-0.3043636993182885,-0.2871091562127392,0.2879115314821989,0.935187901816592,0.08611111111111111,0.08055555555555556,0.005555555555555556,0.1,0,0,1,-1,0
2024-03-15,2024-03-14,19827.0,19941.0,-114.0,-0.5716864751015496,-11.0,1.0,2.25,69.25,-3.25,-0.25,-0.9632641594030876,-0.6482917484461503,-0.2570085485313123,-1.9096912448508416,-0.06111111111111111,-0.018055555555555554,0.022222222222222223,-0.005555555555555556,0,0,1,-1,0
2024-03-19,2024-03-18,19816.0,19913.0,-97.0,-0.4871189675086627,-63.75,-9.25,-8.14013671875,-48.83203125,-20.5,-3.5,0.3933308886094222,0.5649149650123642,0.6621973660529523,-1.1046884790124278,-0.35416666666666663,-0.1138888888888889,-0.20555555555555557,-0.07777777777777778,-1,-1,0,1,-1
2024-03-20,2024-03-19,19844.0,19864.0,-20.0,-0.10068465565847766,-18.75,-5.0,1.10009765625,,14.25,1.75,1.253310748131975,0.8904173912846591,0.6621973660529523,1.2789080406100384,-0.10416666666666667,0.07916666666666666,-0.1111111111111111,0.03888888888888889,-1,0,0,1,0
2024-03-21,2024-03-20,20043.0,19836.0,207.0,1.043557168784029,19.0,4.0,10.599853515625,-141.97265625,50.5,6.5,0.1981115213709694,0.3236535401516027,2.0299637083457838,2.4058308276944107,0.10555555555555554,0.28055555555555556,0.08888888888888889,0.14444444444444443,1,1,-1,0,1
2024-03-22,2024-03-21,20215.0,20259.0,-44.0,-0.21718742287378448,7.75,2.0,-13.119873046875,-135.73046875,-15.0,-3.5,0.1644965992048774,-0.140218784901569,0.1782882623273085,-0.2286885207402056,0.043055555555555555,-0.08333333333333334,0.044444444444444446,-0.07777777777777778,0,-1,-1,0,-2
2024-03-26,2024-03-25,20275.0,20233.0,42.0,0.20758167350368212,13.5,5.5,5.829833984375,-67.20703125,23.0,1.75,-0.4197298103708835,-0.2799795225030266,-0.0398124301965507,0.7130418233622926,0.075,0.1277777777777778,0.12222222222222222,0.03888888888888889,1,1,-1,-1,0
2024-03-27,2024-03-26,20182.0,20188.0,-6.0,-0.029720626114523477,10.75,3.25,-1.860107421875,96.390625,-29.25,-5.75,0.5137342249128984,0.8630626525532925,0.9027648315163894,-0.0718141375737446,0.05972222222222222,-0.1625,0.07222222222222222,-0.1277777777777778,1,0,1,1,3
2024-03-28,2024-03-27,20239.0,20257.0,-18.0,-0.08885817248358592,-2.75,-0.5,-1.510009765625,-111.3203125,1.5,-2.25,-0.1223180366612286,0.1116485507179021,-1.458832981529257,-0.3371930231562792,-0.015277777777777777,0.008333333333333333,-0.011111111111111112,-0.05,0,0,-1,0,-1
2024-03-29,2024-03-28,20220.0,20200.0,20.0,0.09900990099009901,0.0,0.0,-5.81982421875,71.359375,0.0,0.0,-0.1223180366612286,0.1116485507179021,0.501321303670732,0.0294926263543882,0.0,0.0,0.0,0.0,0,-1,1,0,0
2024-04-02,2024-04-01,20355.0,20295.0,60.0,0.29563932002956395,-31.5,-5.0,2.760009765625,-112.58984375,-5.5,0.25,-0.953720213403486,-0.723905907316913,0.0899937985734622,0.1928702510431756,-0.17500000000000002,-0.030555555555555555,-0.1111111111111111,0.005555555555555556,-1,0,-1,-1,-3
2024-04-03,2024-04-02,20375.0,20520.0,-145.0,-0.7066276803118908,-34.0,-7.75,-3.260009765625,-111.87109375,-2.5,-0.75,0.2278863281492071,0.1091122364688113,-0.9715591923371902,-1.677706449345362,-0.18888888888888888,-0.013888888888888888,-0.17222222222222222,-0.016666666666666666,-1,0,-1,0,-2
2024-04-09,2024-04-08,20539.0,20448.0,91.0,0.44503129890453835,-16.5,-3.5,-16.169921875,-10.26953125,-36.25,-7.0,0.3241037115053968,0.1445493193248381,1.0829019257921455,-0.4595879043729489,-0.09166666666666666,-0.2013888888888889,-0.07777777777777778,-0.15555555555555556,-1,-1,0,1,-1
2024-04-10,2024-04-09,20821.0,20868.0,-47.0,-0.22522522522522523,-5.5,-0.75,,12.9296875,20.5,3.0,-0.8357288798496176,-0.9456980649108492,-0.481029071036787,-0.4595879043729489,-0.030555555555555555,0.1138888888888889,-0.016666666666666666,0.06666666666666667,0,0,0,-1,-1
2024-04-11,2024-04-10,20705.0,20848.0,-143.0,-0.6859171143514965,-27.0,-5.5,22.530029296875,-6.53125,-3.5,-1.5,1.6810934405752542,0.7444797710585593,-0.3516253866226226,0.0665413094459665,-0.15,-0.019444444444444445,-0.12222222222222222,-0.03333333333333333,-1,1,0,1,1
2024-04-12,2024-04-11,20746.0,20754.0,-8.0,-0.03854678616170377,6.75,2.75,3.33984375,179.140625,-19.0,1.5,-1.62453557122334,-1.455068829580164,0.2051634925053891,-0.9287131298912232,0.0375,-0.10555555555555554,0.06111111111111111,0.03333333333333333,1,0,1,-1,1
2024-04-16,2024-04-15,20282.0,20508.0,-226.0,-1.1020089721084454,6.25,1.75,-15.830078125,-85.109375,11.0,3.0,-0.1244539310204073,-0.205650701333615,-1.9412367899667824,-2.2767887712661805,0.034722222222222224,0.06111111111111111,0.03888888888888889,0.06666666666666667,0,-1,-1,0,-2
2024-04-17,2024-04-16,19946.0,19949.0,-3.0,-0.015038347786856483,16.75,3.5,-15.579833984375,107.55859375,20.75,8.5,-1.1464041399442126,-0.5780602724641426,-1.32410334963442,-0.9752322097280164,0.09305555555555556,0.11527777777777777,0.07777777777777778,0.18888888888888888,1,-1,1,-1,0
2024-04-18,2024-04-17,20068.0,20190.0,-122.0,-0.6042595344229817,32.75,6.0,7.199951171875,123.87109375,3.25,0.0,-0.5220186514490188,-0.2208160119998248,0.3105712454985365,1.9549729843763688,0.18194444444444444,0.018055555555555554,0.13333333333333333,0.0,1,1,1,-1,2
2024-04-19,2024-04-18,19860.0,20350.0,-490.0,-2.407862407862408,-92.0,-23.75,-22.320068359375,-296.30859375,61.0,19.25,-2.0478174173957586,-0.875854812743615,-2.655870915472003,-1.6259856736606904,-0.5111111111111112,0.33888888888888885,-0.5277777777777778,0.4277777777777778,-1,-1,-1,-1,-4
2024-04-23,2024-04-22,19648.0,19527.0,121.0,0.6196548368925079,-13.0,-1.0,-14.31005859375,-216.140625,27.25,4.25,1.5877623641452845,1.1964576270872662,0.3032986084302136,-0.2441554862655071,-0.07222222222222222,0.15138888888888888,-0.022222222222222223,0.09444444444444444,0,-1,-1,1,-1
2024-04-24,2024-04-23,19928.0,19676.0,252.0,1.2807481195364911,57.75,7.75,8.119873046875,17.76953125,-13.5,-8.75,0.1026356718592635,0.0213010061354879,2.417751641908916,2.010277469333732,0.32083333333333336,-0.075,0.17222222222222222,-0.19444444444444445,1,1,0,0,2
2024-04-25,2024-04-24,19937.0,20164.0,-227.0,-1.1257686966871654,-18.75,1.25,-6.300048828125,-224.26171875,30.25,3.75,-0.6427279398895758,-0.4576430353515626,-2.1622360036482657,-1.761370935718953,-0.10416666666666667,0.16805555555555557,0.027777777777777776,0.08333333333333334,0,-1,-1,-1,-3
2024-04-26,2024-04-25,20126.0,19874.0,252.0,1.2679883264566771,-61.25,-11.5,1.679931640625,150.83984375,-11.0,-6.0,2.025015947888842,1.020914263474304,0.81396125005464,1.054163770425243,-0.34027777777777773,-0.06111111111111111,-0.2555555555555556,-0.13333333333333333,-1,0,1,1,1
2024-04-30,2024-04-29,20503.0,20550.0,-47.0,-0.22871046228710462,-6.5,-5.0,-3.150146484375,182.75,7.25,1.25,-2.0350255647543336,-1.5730513586862171,1.2413375388812486,0.1719151790637862,-0.03611111111111111,0.04027777777777778,-0.1111111111111111,0.027777777777777776,-1,0,1,-1,-1
2024-05-03,2024-05-02,20550.0,20294.0,256.0,1.2614565881541342,19.75,-2.0,-7.08984375,,-9.5,-2.0,1.9908523092361683,1.2556739721478527,-0.0992329475839159,-0.2615847739721566,0.10972222222222223,-0.05277777777777777,-0.044444444444444446,-0.044444444444444446,0,-1,0,1,0
2024-05-07,2024-05-06,20728.0,20600.0,128.0,0.6213592233009709,-7.75,0.75,1.7900390625,73.171875,-15.5,-3.0,-0.1020868216431991,0.1343429823275066,1.566665311325588,2.1568250799290256,-0.043055555555555555,-0.08611111111111111,0.016666666666666666,-0.06666666666666667,0,0,1,0,1
2024-05-08,2024-05-07,20616.0,20646.0,-30.0,-0.14530659691950015,10.75,2.5,2.889892578125,-33.6328125,7.0,1.25,-0.1824564273542717,-0.0005835618166138,-1.629274659502833,0.3909485578448279,0.05972222222222222,0.03888888888888889,0.05555555555555555,0.027777777777777776,1,0,0,0,1
2024-05-09,2024-05-08,20719.0,20725.0,-6.0,-0.028950542822677925,5.5,-0.25,-5.010009765625,76.95703125,-23.25,-4.25,0.2668259891292823,0.5090947698625836,-0.3360802518904471,-1.1988909369448295,0.030555555555555555,-0.12916666666666665,-0.005555555555555556,-0.09444444444444444,0,-1,1,0,0
2024-05-10,2024-05-09,20730.0,20613.0,117.0,0.5676029690001455,16.75,5.75,-4.519775390625,-271.30859375,16.5,5.5,-0.0329717532620787,0.1649398844549843,0.4074407360095344,0.5711353708842237,0.09305555555555556,0.09166666666666666,0.1277777777777778,0.12222222222222222,1,0,-1,0,0
2024-05-14,2024-05-13,20882.0,20878.0,4.0,0.01915892326851231,-8.25,0.75,3.639892578125,-117.36328125,6.75,0.75,0.7501687268846036,0.4837813139759728,0.4625462275098524,0.1147739630596333,-0.04583333333333333,0.0375,0.016666666666666666,0.016666666666666666,0,0,-1,1,0
2024-05-15,2024-05-14,21191.0,21004.0,187.0,0.8903066082650923,-1.5,2.25,,-19.12890625,-11.5,-4.0,1.40032960621852,1.171592788259623,0.0773590303275728,0.1147739630596333,-0.008333333333333333,-0.0638888888888889,0.05,-0.08888888888888889,0,0,0,1,1
2024-05-16,2024-05-15,21467.0,21240.0,227.0,1.0687382297551788,33.0,10.25,-17.489990234375,22.98828125,2.75,-2.0,-0.2632259244638169,-0.2081667792128705,1.3925259294861323,0.8299300226324968,0.18333333333333332,0.015277777777777777,0.2277777777777778,-0.044444444444444446,1,-1,0,0,0
2024-05-17,2024-05-16,21301.0,21368.0,-67.0,-0.31355297641332835,16.25,4.75,-10.7998046875,214.44140625,-15.5,-1.0,-0.0739571953578765,0.1164773510270222,-0.3414232243869608,-1.0308711519251723,0.09027777777777778,-0.08611111111111111,0.10555555555555554,-0.022222222222222223,1,-1,1,0,1
2024-05-21,2024-05-20,21330.0,21301.0,29.0,0.13614384301206514,11.25,1.25,2.31005859375,-87.05078125,6.5,1.25,0.2247710278890258,0.2501874243978186,-0.3141822533018423,-0.6549615133097486,0.0625,0.03611111111111111,0.027777777777777776,0.027777777777777776,0,0,-1,0,-1
2024-05-22,2024-05-21,21291.0,21281.0,10.0,0.04699027301348621,11.75,2.0,9.139892578125,26.58984375,-19.25,-4.5,-0.1846419613332095,-0.2706123039226127,-0.8468655363759181,-0.0264288968126802,0.06527777777777777,-0.10694444444444445,0.044444444444444446,-0.1,0,1,0,0,1
2024-05-23,2024-05-22,21619.0,21580.0,39.0,0.18072289156626506,51.5,9.0,2.369873046875,16.94921875,-18.0,-3.5,-0.3899033617177028,-0.7380789485015526,1.258813240328882,-0.0605811125338529,0.2861111111111111,-0.1,0.2,-0.07777777777777778,1,0,0,-1,0
2024-05-24,2024-05-23,21450.0,21606.0,-156.0,-0.7220216606498195,32.25,6.0,-4.52001953125,30.80078125,-5.0,0.25,1.1039641622729413,0.700104258816947,-1.1689814537326315,-1.256882743506904,0.17916666666666667,-0.027777777777777776,0.13333333333333333,0.005555555555555556,1,0,0,1,2
2024-05-28,2024-05-27,21884.0,21866.0,18.0,0.08231958291411323,,,5.239990234375,-59.390625,-3.25,0.0,0.5856216072961384,0.0248801852934077,-0.1147774166646131,-0.0051374620775979,,-0.018055555555555554,,0.0,0,1,-1,1,1
2024-05-29,2024-05-28,21865.0,21952.0,-87.0,-0.3963192419825073,-41.75,-9.75,-1.679931640625,-103.7421875,-8.75,-3.5,-0.5834399316332561,-0.7367046509680453,-0.7682335584436428,-1.67288125289502,-0.23194444444444443,-0.04861111111111111,-0.21666666666666665,-0.07777777777777778,-1,0,-1,-1,-3
2024-05-30,2024-05-29,21508.0,21735.0,-227.0,-1.0443984357027836,-32.5,-6.0,7.530029296875,262.4921875,24.0,5.25,-1.0844781866387043,-0.5975035585443322,-1.3038977832967702,-1.5635194658214502,-0.18055555555555555,0.13333333333333333,-0.13333333333333333,0.11666666666666668,-1,1,1,-1,0
2024-05-31,2024-05-30,21510.0,21394.0,116.0,0.5422080957277742,-81.75,-13.75,-4.47021484375,-113.5390625,-13.5,-0.5,-0.01231126854494,0.802787620486467,1.1398750772054989,0.0409828396401801,-0.4541666666666667,-0.075,-0.3055555555555556,-0.011111111111111112,-1,0,-1,0,-2
2024-06-04,2024-06-03,21568.0,21656.0,-88.0,-0.40635389730328775,8.75,1.75,2.43994140625,-27.2109375,-28.5,-9.0,0.1686458853061845,0.1502809091306511,-0.219844934353619,-0.7612216023114016,0.04861111111111111,-0.15833333333333333,0.03888888888888889,-0.2,0,0,0,0,0
2024-06-05,2024-06-04,21343.0,21336.0,7.0,0.03280839895013123,27.75,5.25,12.3798828125,59.53125,-24.25,-5.0,1.962677894658782,1.1847649793331303,-0.8942115527554195,1.0292589060746815,0.15416666666666667,-0.13472222222222224,0.11666666666666668,-0.1111111111111111,1,1,1,1,4
2024-06-06,2024-06-05,21820.0,21453.0,367.0,1.7107164499137648,0.0,2.25,,-13.0703125,9.0,0.25,-0.0859979966375767,-0.0199816635633176,0.5542709563439718,1.0292589060746815,0.0,0.05,0.05,0.005555555555555556,0,0,0,0,0
2024-06-07,2024-06-06,21835.0,21866.0,-31.0,-0.14177261501875058,9.5,2.0,-0.77978515625,-99.79296875,-12.5,-3.5,-0.2328539208430902,-0.111521973003037,-0.0505949728600851,1.2333118377021668,0.05277777777777777,-0.06944444444444445,0.044444444444444446,-0.07777777777777778,0,0,-1,0,-1
2024-06-12,2024-06-11,21830.0,21801.0,29.0,0.1330214210357323,-2.25,-1.25,-1.409912109375,-114.80859375,-13.75,-2.5,1.5273035793879508,0.8503672791998707,-0.6594596040567335,0.8446266222939869,-0.0125,-0.0763888888888889,-0.027777777777777776,-0.05555555555555555,0,0,-1,1,0
2024-06-13,2024-06-12,22310.0,22044.0,266.0,1.206677553982943,5.5,-1.0,-5.27978515625,-87.93359375,28.5,1.5,0.3357543063789547,0.2344655853681709,-0.4018914762392911,0.979410061260455,0.030555555555555555,0.15833333333333333,-0.022222222222222223,0.03333333333333333,0,-1,-1,1,-1
2024-06-14,2024-06-13,22268.0,22324.0,-56.0,-0.250851101953055,7.75,1.0,-8.4599609375,109.19140625,-5.25,-9.5,0.1206749083634495,-0.0393860697500914,0.2429976877539763,0.1281368560821727,0.043055555555555555,-0.02916666666666667,0.022222222222222223,-0.21111111111111108,0,-1,1,0,0
