交易編號,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,淨損益 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累計損益 TWD,累計損益 %
1,空頭出場,2022-01-25 23:25,S_Exit,17579,1,876150,-2840,-0.32,730,0.08,-2820,-0.32,-2840,-0.71
1,空頭進場,2022-01-25 22:55,S_Cmd,17523,1,876150,-2840,-0.32,730,0.08,-2820,-0.32,-2840,-0.71
2,空頭出場,2022-02-07 08:45,S_Exit,17800,1,881300,-8740,-0.99,230,0.03,-8720,-0.99,-11580,-2.89
2,空頭進場,2022-01-26 04:55,S_Cmd,17626,1,881300,-8740,-0.99,230,0.03,-8720,-0.99,-11580,-2.89
3,多頭出場,2022-02-09 10:30,L_Exit,18051,1,904600,-2090,-0.23,630,0.07,-2070,-0.23,-13670,-3.42
3,多頭進場,2022-02-09 09:05,L_Cmd,18092,1,904600,-2090,-0.23,630,0.07,-2070,-0.23,-13670,-3.42
4,多頭出場,2022-02-09 13:10,Vol Top,18161,1,906250,1760,0.19,2130,0.24,-620,-0.07,-11950,-2.99
4,多頭進場,2022-02-09 12:25,L_Cmd,18125,1,906250,1760,0.19,2130,0.24,-620,-0.07,-11950,-2.99
5,多頭出場,2022-02-09 16:20,L_Exit,18179,1,907300,1610,0.18,1680,0.19,-20,0.00,-10320,-2.58
5,多頭進場,2022-02-09 13:05,L_Add,18146,1,907300,1610,0.18,1680,0.19,-20,0.00,-10320,-2.58
6,多頭出場,2022-02-09 16:50,Vol Top,18194,1,908050,1610,0.18,1630,0.18,-720,-0.08,-8690,-2.17
6,多頭進場,2022-02-09 13:10,L_Add,18161,1,908050,1610,0.18,1630,0.18,-720,-0.08,-8690,-2.17
7,多頭出場,2022-02-09 22:00,L_Exit,18213,1,911400,-790,-0.09,130,0.01,-770,-0.08,-9480,-2.37
7,多頭進場,2022-02-09 21:15,L_Cmd,18228,1,911400,-790,-0.09,130,0.01,-770,-0.08,-9480,-2.37
8,多頭出場,2022-02-10 00:55,L_Exit,18194,1,911300,-1640,-0.18,480,0.05,-1620,-0.18,-11120,-2.78
8,多頭進場,2022-02-10 00:00,L_Cmd,18226,1,911300,-1640,-0.18,480,0.05,-1620,-0.18,-11120,-2.78
9,多頭出場,2022-02-10 12:25,Vol Top,18243,1,910200,1910,0.21,2580,0.28,-420,-0.05,-9250,-2.31
9,多頭進場,2022-02-10 11:10,L_Cmd,18204,1,910200,1910,0.21,2580,0.28,-420,-0.05,-9250,-2.31
10,多頭出場,2022-02-10 13:05,Vol Top,18271,1,911500,2010,0.22,2230,0.24,-1220,-0.13,-7260,-1.81
10,多頭進場,2022-02-10 11:20,L_Add,18230,1,911500,2010,0.22,2230,0.24,-1220,-0.13,-7260,-1.81
11,多頭出場,2022-02-10 13:05,Vol Top,18271,1,912150,1360,0.15,1580,0.17,-120,-0.01,-5880,-1.47
11,多頭進場,2022-02-10 12:25,L_Add,18243,1,912150,1360,0.15,1580,0.17,-120,-0.01,-5880,-1.47
12,多頭出場,2022-02-10 13:15,L_Exit,18286,1,912950,1310,0.14,1380,0.15,-770,-0.08,-4550,-1.14
12,多頭進場,2022-02-10 12:40,L_Add,18259,1,912950,1310,0.14,1380,0.15,-770,-0.08,-4550,-1.14
13,多頭出場,2022-02-10 13:15,L_Exit_G,18286,1,913550,710,0.08,780,0.09,-220,-0.02,-3820,-0.95
13,多頭進場,2022-02-10 13:05,L_G_進,18271,1,913550,710,0.08,780,0.09,-220,-0.02,-3820,-0.95
14,多頭出場,2022-02-10 13:35,Vol Top,18325,1,914250,1960,0.21,2030,0.22,-170,-0.02,-1900,-0.47
14,多頭進場,2022-02-10 13:20,L_Cmd,18285,1,914250,1960,0.21,2030,0.22,-170,-0.02,-1900,-0.47
15,多頭出場,2022-02-10 15:00,Vol Top,18369,1,915650,2760,0.30,2780,0.30,-170,-0.02,860,0.22
15,多頭進場,2022-02-10 13:30,L_Add,18313,1,915650,2760,0.30,2780,0.30,-170,-0.02,860,0.22
16,多頭出場,2022-02-10 15:00,L_Exit,18376,1,916250,2510,0.27,2580,0.28,-670,-0.07,3390,0.85
16,多頭進場,2022-02-10 13:35,L_Add,18325,1,916250,2510,0.27,2580,0.28,-670,-0.07,3390,0.85
17,多頭出場,2022-02-10 20:15,Vol Top,18383,1,918450,660,0.07,1380,0.15,-720,-0.08,4070,1.02
17,多頭進場,2022-02-10 15:00,L_Add,18369,1,918450,660,0.07,1380,0.15,-720,-0.08,4070,1.02
18,多頭出場,2022-02-10 21:30,L_Exit,18372,1,919350,-790,-0.09,230,0.03,-770,-0.08,3280,0.82
18,多頭進場,2022-02-10 21:05,L_Cmd,18387,1,919350,-790,-0.09,230,0.03,-770,-0.08,3280,0.82
19,多頭出場,2022-02-11 00:35,Trend Rev,18324,1,917250,-1090,-0.12,1980,0.22,-1070,-0.12,2170,0.54
19,多頭進場,2022-02-10 23:20,L_Cmd,18345,1,917250,-1090,-0.12,1980,0.22,-1070,-0.12,2170,0.54
20,多頭出場,2022-02-11 00:35,Trend Rev,18324,1,919100,-2940,-0.32,130,0.01,-2920,-0.32,-750,-0.19
20,多頭進場,2022-02-10 23:40,L_Add,18382,1,919100,-2940,-0.32,130,0.01,-2920,-0.32,-750,-0.19
21,多頭出場,2022-02-11 22:55,L_Exit,18334,1,918500,-1840,-0.20,180,0.02,-1820,-0.20,-2590,-0.65
21,多頭進場,2022-02-11 22:50,L_Cmd,18370,1,918500,-1840,-0.20,180,0.02,-1820,-0.20,-2590,-0.65
22,空頭出場,2022-02-14 09:40,S_Exit,17955,1,902700,4910,0.54,4980,0.55,-70,-0.01,2260,0.56
22,空頭進場,2022-02-14 09:05,S_Cmd,18054,1,902700,4910,0.54,4980,0.55,-70,-0.01,2260,0.56
23,空頭出場,2022-02-14 09:40,S_Exit_G,17955,1,900350,2560,0.28,2630,0.29,-2270,-0.25,4840,1.21
23,空頭進場,2022-02-14 09:10,S_Add,18007,1,900350,2560,0.28,2630,0.29,-2270,-0.25,4840,1.21
24,空頭出場,2022-02-14 16:30,S_Exit_Add,17907,1,899850,4460,0.50,4530,0.50,-1820,-0.20,9280,2.32
24,空頭進場,2022-02-14 09:35,S_Add,17997,1,899850,4460,0.50,4530,0.50,-1820,-0.20,9280,2.32
25,空頭出場,2022-02-14 16:30,S_Exit_G,17907,1,899150,3760,0.42,3830,0.43,-2520,-0.28,13060,3.26
25,空頭進場,2022-02-14 09:40,S_G_進,17983,1,899150,3760,0.42,3830,0.43,-2520,-0.28,13060,3.26
