交易編號,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,淨損益 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累計損益 TWD,累計損益 %
1,空頭出場,2022-01-25 23:25,S_Exit,17579,1,876150,-2840,-0.32,730,0.08,-2820,-0.32,-2840,-0.71
1,空頭進場,2022-01-25 22:55,S_Cmd,17523,1,876150,-2840,-0.32,730,0.08,-2820,-0.32,-2840,-0.71
2,空頭出場,2022-02-07 08:45,S_Exit,17800,1,881300,-8740,-0.99,230,0.03,-8720,-0.99,-11580,-2.89
2,空頭進場,2022-01-26 04:55,S_Cmd,17626,1,881300,-8740,-0.99,230,0.03,-8720,-0.99,-11580,-2.89
3,多頭出場,2022-02-09 10:30,L_Exit,18051,1,904600,-2090,-0.23,630,0.07,-2070,-0.23,-13670,-3.42
3,多頭進場,2022-02-09 09:05,L_Cmd,18092,1,904600,-2090,-0.23,630,0.07,-2070,-0.23,-13670,-3.42
4,多頭出場,2022-02-09 15:00,L_Exit_G,18173,1,906250,2360,0.26,2430,0.27,-620,-0.07,-11370,-2.84
4,多頭進場,2022-02-09 12:25,L_Cmd,18125,1,906250,2360,0.26,2430,0.27,-620,-0.07,-11370,-2.84
5,多頭出場,2022-02-09 16:20,L_Exit,18179,1,907300,1610,0.18,1680,0.19,-20,0.00,-9740,-2.43
5,多頭進場,2022-02-09 13:05,L_Add,18146,1,907300,1610,0.18,1680,0.19,-20,0.00,-9740,-2.43
6,多頭出場,2022-02-09 16:50,L_Exit_Add,18196,1,908050,1710,0.19,1780,0.20,-720,-0.08,-8010,-2.00
6,多頭進場,2022-02-09 13:10,L_Add,18161,1,908050,1710,0.19,1780,0.20,-720,-0.08,-8010,-2.00
7,多頭出場,2022-02-09 17:00,L_Exit_Add,18209,1,908050,2360,0.26,2430,0.27,-720,-0.08,-5630,-1.41
7,多頭進場,2022-02-09 13:15,L_G_進,18161,1,908050,2360,0.26,2430,0.27,-720,-0.08,-5630,-1.41
8,多頭出場,2022-02-09 22:00,L_Exit,18213,1,911400,-790,-0.09,130,0.01,-770,-0.08,-6420,-1.60
8,多頭進場,2022-02-09 21:15,L_Cmd,18228,1,911400,-790,-0.09,130,0.01,-770,-0.08,-6420,-1.60
9,多頭出場,2022-02-10 00:45,L_Cmd_Fast,18204,1,911300,-1140,-0.13,480,0.05,-1170,-0.13,-7560,-1.89
9,多頭進場,2022-02-10 00:00,L_Cmd,18226,1,911300,-1140,-0.13,480,0.05,-1170,-0.13,-7560,-1.89
10,多頭出場,2022-02-10 12:35,L_Exit_G,18261,1,910200,2810,0.31,2880,0.32,-420,-0.05,-4810,-1.20
10,多頭進場,2022-02-10 11:10,L_Cmd,18204,1,910200,2810,0.31,2880,0.32,-420,-0.05,-4810,-1.20
11,多頭出場,2022-02-10 13:00,L_Exit_G,18274,1,911500,2160,0.24,2230,0.24,-1220,-0.13,-2650,-0.66
11,多頭進場,2022-02-10 11:20,L_Add,18230,1,911500,2160,0.24,2230,0.24,-1220,-0.13,-2650,-0.66
12,多頭出場,2022-02-10 13:15,L_Exit,18286,1,912150,2110,0.23,2180,0.24,-120,-0.01,-540,-0.13
12,多頭進場,2022-02-10 12:25,L_Add,18243,1,912150,2110,0.23,2180,0.24,-120,-0.01,-540,-0.13
13,多頭出場,2022-02-10 13:15,L_Exit_Add,18286,1,912400,1860,0.20,1930,0.21,-220,-0.02,1340,0.34
13,多頭進場,2022-02-10 12:30,L_G_進,18248,1,912400,1860,0.20,1930,0.21,-220,-0.02,1340,0.34
14,多頭出場,2022-02-10 13:15,L_Exit_G,18286,1,913050,1210,0.13,1280,0.14,-120,-0.01,2570,0.64
14,多頭進場,2022-02-10 13:00,L_G_進,18261,1,913050,1210,0.13,1280,0.14,-120,-0.01,2570,0.64
15,多頭出場,2022-02-10 13:30,L_Exit_Add,18313,1,913550,2060,0.23,2130,0.23,-220,-0.02,4630,1.16
15,多頭進場,2022-02-10 13:05,L_G_進,18271,1,913550,2060,0.23,2130,0.23,-220,-0.02,4630,1.16
16,多頭出場,2022-02-10 15:00,L_Exit_Add,18376,1,915650,3110,0.34,3180,0.35,-170,-0.02,7740,1.93
16,多頭進場,2022-02-10 13:30,L_Add,18313,1,915650,3110,0.34,3180,0.35,-170,-0.02,7740,1.93
17,多頭出場,2022-02-10 21:10,L_Exit_Add,18390,1,918450,1010,0.11,1380,0.15,-720,-0.08,8750,2.19
17,多頭進場,2022-02-10 15:00,L_Add,18369,1,918450,1010,0.11,1380,0.15,-720,-0.08,8750,2.19
18,多頭出場,2022-02-10 21:30,L_Exit_Add,18364,1,919500,-1340,-0.15,30,0.00,-1320,-0.14,7430,1.86
18,多頭進場,2022-02-10 21:10,L_Add,18390,1,919500,-1340,-0.15,30,0.00,-1320,-0.14,7430,1.86
19,多頭出場,2022-02-10 23:55,L_Cmd_Fast,18339,1,917250,-340,-0.04,1980,0.22,-470,-0.05,7070,1.77
19,多頭進場,2022-02-10 23:20,L_Cmd,18345,1,917250,-340,-0.04,1980,0.22,-470,-0.05,7070,1.77
20,多頭出場,2022-02-11 00:35,Trend Rev,18324,1,919100,-2940,-0.32,130,0.01,-2920,-0.32,4150,1.04
20,多頭進場,2022-02-10 23:40,L_Add,18382,1,919100,-2940,-0.32,130,0.01,-2920,-0.32,4150,1.04
21,多頭出場,2022-02-11 22:55,L_Exit,18334,1,918500,-1840,-0.20,180,0.02,-1820,-0.20,2310,0.58
21,多頭進場,2022-02-11 22:50,L_Cmd,18370,1,918500,-1840,-0.20,180,0.02,-1820,-0.20,2310,0.58
22,空頭出場,2022-02-14 09:40,S_Exit,17955,1,902700,4910,0.54,4980,0.55,-70,-0.01,7160,1.79
22,空頭進場,2022-02-14 09:05,S_Cmd,18054,1,902700,4910,0.54,4980,0.55,-70,-0.01,7160,1.79
23,空頭出場,2022-02-14 09:40,S_Exit_G,17955,1,900350,2560,0.28,2630,0.29,-2270,-0.25,9740,2.44
23,空頭進場,2022-02-14 09:10,S_Add,18007,1,900350,2560,0.28,2630,0.29,-2270,-0.25,9740,2.44
24,空頭出場,2022-02-14 12:00,S_G_Cut,18011,1,899850,-740,-0.08,3130,0.35,-1470,-0.16,8980,2.25
24,空頭進場,2022-02-14 09:35,S_Add,17997,1,899850,-740,-0.08,3130,0.35,-1470,-0.16,8980,2.25
25,空頭出場,2022-02-14 16:30,S_Exit_Add,17907,1,899150,3760,0.42,3830,0.43,-2520,-0.28,12760,3.19
25,空頭進場,2022-02-14 09:40,S_G_進,17983,1,899150,3760,0.42,3830,0.43,-2520,-0.28,12760,3.19
