交易編號,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,報酬 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累計損益 TWD,累計損益 %,持續時間（K線）
1,多頭出場,2022-01-03 09:15,L_Exit,18380,1,916250,2710,0.30,2780,0.30,-470,-0.05,2670,0.67,5
1,多頭進場,2022-01-03 08:50,L_Cmd,18325,1,916250,2710,0.30,2780,0.30,-470,-0.05,2670,0.67,5
2,多頭出場,2022-01-03 09:35,L_Exit_Add,18300,1,916900,-1940,-0.21,2530,0.28,-1920,-0.21,710,0.18,6
2,多頭進場,2022-01-03 09:05,L_Add,18338,1,916900,-1940,-0.21,2530,0.28,-1920,-0.21,710,0.18,6
3,多頭出場,2022-01-03 09:40,L_G_Cut,18294,1,918200,-3540,-0.39,1230,0.13,-3820,-0.42,-2810,-0.70,5
3,多頭進場,2022-01-03 09:15,L_Add,18364,1,918200,-3540,-0.39,1230,0.13,-3820,-0.42,-2810,-0.70,5
4,多頭出場,2022-01-03 09:40,L_Exit_Add,18284,1,919000,-4840,-0.53,430,0.05,-4820,-0.52,-7630,-1.91,4
4,多頭進場,2022-01-03 09:20,L_Add,18380,1,919000,-4840,-0.53,430,0.05,-4820,-0.52,-7630,-1.91,4
5,多頭出場,2022-01-03 10:00,Trend Rev,18262,1,918850,-5790,-0.63,580,0.06,-5920,-0.64,-13400,-3.35,7
5,多頭進場,2022-01-03 09:25,L_G_進,18377,1,918850,-5790,-0.63,580,0.06,-5920,-0.64,-13400,-3.35,7
6,多頭出場,2022-01-04 04:50,L_Exit_Add,18364,1,916350,1810,0.20,1880,0.21,-520,-0.06,-11650,-2.91,67
6,多頭進場,2022-01-03 23:15,L_Cmd,18327,1,916350,1810,0.20,1880,0.21,-520,-0.06,-11650,-2.91,67
7,多頭出場,2022-01-04 08:50,L_Exit,18381,1,917100,1910,0.21,1980,0.22,-270,-0.03,-9740,-2.43,51
7,多頭進場,2022-01-04 00:50,L_Add,18342,1,917100,1910,0.21,1980,0.22,-270,-0.03,-9740,-2.43,51
8,多頭出場,2022-01-04 08:50,L_Exit_Add,18381,1,917550,1460,0.16,1530,0.17,-220,-0.02,-8260,-2.07,23
8,多頭進場,2022-01-04 03:10,L_Add,18351,1,917550,1460,0.16,1530,0.17,-220,-0.02,-8260,-2.07,23
9,多頭出場,2022-01-04 08:50,L_Exit_G,18381,1,918000,1010,0.11,1080,0.12,-670,-0.07,-7230,-1.81,16
9,多頭進場,2022-01-04 03:45,L_G_進,18360,1,918000,1010,0.11,1080,0.12,-670,-0.07,-7230,-1.81,16
10,多頭出場,2022-01-04 08:55,L_Exit_G,18392,1,918950,610,0.07,680,0.07,-320,-0.03,-6600,-1.65,1
10,多頭進場,2022-01-04 08:50,L_G_進,18379,1,918950,610,0.07,680,0.07,-320,-0.03,-6600,-1.65,1
11,多頭出場,2022-01-04 10:05,L_Exit,18416,1,922850,-2090,-0.23,1980,0.21,-2070,-0.22,-8710,-2.18,8
